dictionary,hiragana,meaning,type,transitivity,te,past,negative,negativePast,polite,potential,passive,causative,causativePassive,conditional,imperative,volitional,prohibitive,lesson
見る,みる,看,一段动词,他动词,見て,見た,見ない,見なかった,見ます,見られる,見られる,見させる,見させられる,見れば,見ろ,見よう,見るな,107
する,する,做,不规则动词,他动词,して,した,しない,しなかった,します,できる,される,させる,させられる,すれば,しろ,しよう,するな,107
掃除する,そうじする,打扫,不规则动词,他动词,掃除して,掃除した,掃除しない,掃除しなかった,掃除します,掃除できる,掃除される,掃除させる,掃除させられる,掃除すれば,掃除しろ,掃除しよう,掃除するな,107
貰う,もらう,得到,五段动词,他动词,貰って,貰った,貰わない,貰わなかった,貰います,貰える,貰われる,貰わせる,貰わせられる,貰えば,貰え,貰おう,貰うな,108
会う,あう,见面,五段动词,自动词,会って,会った,会わない,会わなかった,会います,会える,会われる,会わせる,会わせられる,会えば,会え,会おう,会うな,108
送る,おくる,发送,五段动词,他动词,送って,送った,送らない,送らなかった,送ります,送れる,送られる,送らせる,送らせられる,送れば,送れ,送ろう,送るな,108
作る,つくる,制作,五段动词,他动词,作って,作った,作らない,作らなかった,作ります,作れる,作られる,作らせる,作らせられる,作れば,作れ,作ろう,作るな,108
太る,ふとる,变胖,五段动词,自动词,太って,太った,太らない,太らなかった,太ります,太れる,-,太らせる,太らせられる,太れば,-,太ろう,太るな,108
出す,だす,拿出,五段动词,他动词,出して,出した,出さない,出さなかった,出します,出せる,出される,出させる,出させられる,出せば,出せ,出そう,出すな,108
届く,とどく,到达,五段动词,自动词,届いて,届いた,届かない,届かなかった,届きます,-,-,届かせる,届かせられる,届けば,-,届こう,届くな,108
書く,かく,写,五段动词,他动词,書いて,書いた,書かない,書かなかった,書きます,書ける,書かれる,書かせる,書かせられる,書けば,書け,書こう,書くな,108
貸す,かす,借出,五段动词,他动词,貸して,貸した,貸さない,貸さなかった,貸します,貸せる,貸される,貸させる,貸させられる,貸せば,貸せ,貸そう,貸すな,108
習う,ならう,学习,五段动词,他动词,習って,習った,習わない,習わなかった,習います,習える,習われる,習わせる,習わせられる,習えば,習え,習おう,習うな,108
上げる,あげる,给,一段动词,他动词,上げて,上げた,上げない,上げなかった,上げます,上げられる,上げられる,上げさせる,上げさせられる,上げれば,上げろ,上げよう,上げるな,108
掛ける,かける,挂；打(电话),一段动词,他动词,掛けて,掛けた,掛けない,掛けなかった,掛けます,掛けられる,掛けられる,掛けさせる,掛けさせられる,掛ければ,掛けろ,掛けよう,掛けるな,108
借りる,かりる,借入,一段动词,他动词,借りて,借りた,借りない,借りなかった,借ります,借りられる,借りられる,借りさせる,借りさせられる,借りれば,借りろ,借りよう,借りるな,108
教える,おしえる,教,一段动词,他动词,教えて,教えた,教えない,教えなかった,教えます,教えられる,教えられる,教えさせる,教えさせられる,教えれば,教えろ,教えよう,教えるな,108
分かる,わかる,明白；理解,五段动词,自动词,分かって,分かった,分からない,分からなかった,分かります,-,-,分からせる,分からせられる,分かれば,-,分かろう,分かるな,111
迷う,まよう,迷失；犹豫,五段动词,自动词,迷って,迷った,迷わない,迷わなかった,迷います,-,-,迷わせる,迷わせられる,迷えば,-,迷おう,迷うな,111
出来る,できる,能；做好；产生,不规则动词,自动词,出来て,出来た,出来ない,出来なかった,出来ます,-,-,-,-,出来れば,-,出来よう,出来るな,111
閉める,しめる,关闭,一段动词,他动词,閉めて,閉めた,閉めない,閉めなかった,閉めます,閉められる,閉められる,閉めさせる,閉めさせられる,閉めれば,閉めろ,閉めよう,閉めるな,111
疲れる,つかれる,疲倦，累,一段动词,自动词,疲れて,疲れた,疲れない,疲れなかった,疲れます,疲れられる,疲れられる,疲れさせる,疲れさせられる,疲れれば,疲れろ,疲れよう,疲れるな,111
散歩する,さんぽする,散步,不规则动词,自动词,散歩して,散歩した,散歩しない,散歩しなかった,散歩します,散歩できる,散歩される,散歩させる,散歩させられる,散歩すれば,散歩しろ,散歩しよう,散歩するな,111
降る,ふる,下(雨、雪等),五段动词,自动词,降って,降った,降らない,降らなかった,降ります,降れる,降られる,降らせる,降らせられる,降れば,降れ,降ろう,降るな,112
掛かる,かかる,花费(时间、金钱等)；挂；需要,五段动词,自动词,掛かって,掛かった,掛からない,掛からなかった,掛かります,掛かれる,掛かられる,掛からせる,掛からせられる,掛かれば,掛かれ,掛かろう,掛かるな,113
咲く,さく,开花,五段动词,自动词,咲いて,咲いた,咲かない,咲かなかった,咲きます,咲ける,咲かれる,咲かせる,咲かせられる,咲けば,咲け,咲こう,咲くな,113
泳ぐ,およぐ,游泳,五段动词,自动词,泳いで,泳いだ,泳がない,泳がなかった,泳ぎます,泳げる,泳がれる,泳がせる,泳がせられる,泳げば,泳げ,泳ごう,泳ぐな,113
遊ぶ,あそぶ,玩，玩耍,五段动词,自动词,遊んで,遊んだ,遊ばない,遊ばなかった,遊びます,遊べる,遊ばれる,遊ばせる,遊ばせられる,遊べば,遊べ,遊ぼう,遊ぶな,113
吸う,すう,吸，吸入,五段动词,他动词,吸って,吸った,吸わない,吸わなかった,吸います,吸える,吸われる,吸わせる,吸わせられる,吸えば,吸え,吸おう,吸うな,113
切る,きる,切，砍,五段动词,他动词,切って,切った,切らない,切らなかった,切ります,切れる,切られる,切らせる,切らせられる,切れば,切れ,切ろう,切るな,113
通る,とおる,通过，经过,五段动词,自动词,通って,通った,通らない,通らなかった,通ります,通れる,通られる,通らせる,通らせられる,通れば,通れ,通ろう,通るな,114
急ぐ,いそぐ,匆忙,五段动词,他动词,急いで,急いだ,急がない,急がなかった,急ぎます,急げる,急がれる,急がせる,急がせられる,急げば,急げ,急ごう,急ぐな,114
飛ぶ,とぶ,飞,五段动词,自动词,飛んで,飛んだ,飛ばない,飛ばなかった,飛びます,飛べる,飛ばれる,飛ばせる,飛ばせられる,飛べば,飛べ,飛ぼう,飛ぶな,114
死ぬ,しぬ,死,五段动词,自动词,死んで,死んだ,死なない,死ななかった,死にます,死ねる,死なれる,死なせる,死なせられる,死ねば,死ね,死のう,死ぬな,114
待つ,まつ,等待,五段动词,他动词,待って,待った,待たない,待たなかった,待ちます,待てる,待たれる,待たせる,待たせられる,待てば,待て,待とう,待つな,114
売る,うる,卖,五段动词,他动词,売って,売った,売らない,売らなかった,売ります,売れる,売られる,売らせる,売らせられる,売れば,売れ,売ろう,売るな,114
話す,はなす,说话,五段动词,他动词,話して,話した,話さない,話さなかった,話します,話せる,話される,話させる,話させられる,話せば,話せ,話そう,話すな,114
渡る,わたる,渡过,五段动词,自动词,渡って,渡った,渡らない,渡らなかった,渡ります,渡れる,渡られる,渡らせる,渡らせられる,渡れば,渡れ,渡ろう,渡るな,114
下ろす,おろす,放下,五段动词,他动词,下ろして,下ろした,下ろさない,下ろさなかった,下ろします,下ろせる,下ろされる,下ろさせる,下ろさせられる,下ろせば,下ろせ,下ろそう,下ろすな,114
選ぶ,えらぶ,选择,五段动词,他动词,選んで,選んだ,選ばない,選ばなかった,選びます,選べる,選ばれる,選ばせる,選ばせられる,選べば,選べ,選ぼう,選ぶな,114
消す,けす,消除,五段动词,他动词,消して,消した,消さない,消さなかった,消します,消せる,消される,消させる,消させられる,消せば,消せ,消そう,消すな,114
歩く,あるく,走路,五段动词,自动词,歩いて,歩いた,歩かない,歩かなかった,歩きます,歩ける,歩かれる,歩かせる,歩かせられる,歩けば,歩け,歩こう,歩くな,114
曲がる,まがる,弯曲；转弯,五段动词,自动词,曲がって,曲がった,曲がらない,曲がらなかった,曲がります,曲がれる,曲がられる,曲がらせる,曲がらせられる,曲がれば,曲がれ,曲がろう,曲がるな,114
洗う,あらう,洗,五段动词,他动词,洗って,洗った,洗わない,洗わなかった,洗います,洗える,洗われる,洗わせる,洗わせられる,洗えば,洗え,洗おう,洗うな,114
出る,でる,出去；出现,一段动词,自动词,出て,出た,出ない,出なかった,出ます,出られる,出られる,出させる,出させられる,出れば,出ろ,出よう,出るな,114
出かける,でかける,出门,一段动词,自动词,出かけて,出かけた,出かけない,出かけなかった,出かけます,出かけられる,出かけられる,出かけさせる,出かけさせられる,出かければ,出かけろ,出かけよう,出かけるな,114
開ける,あける,打开,一段动词,他动词,開けて,開けた,開けない,開けなかった,開けます,開けられる,開けられる,開けさせる,開けさせられる,開ければ,開けろ,開けよう,開けるな,114
過ぎる,すぎる,经过；超过,一段动词,自动词,過ぎて,過ぎた,過ぎない,過ぎなかった,過ぎます,-,-,-,-,過ぎれば,-,過ぎよう,過ぎるな,114
見せる,みせる,显示；给看,一段动词,他动词,見せて,見せた,見せない,見せなかった,見せます,見せられる,見せられる,見せさせる,見せさせられる,見せれば,見せろ,見せよう,見せるな,114
付ける,つける,附加；打开,一段动词,他动词,付けて,付けた,付けない,付けなかった,付けます,付けられる,付けられる,付けさせる,付けさせられる,付ければ,付けろ,付けよう,付けるな,114
降る,ふる,下雨；下雪,五段动词,自动词,降って,降った,降らない,降らなかった,降ります,-,-,-,-,降れば,-,降ろう,降るな,114
買い物する,かいものする,购物,不规则动词,自动词,買い物して,買い物した,買い物しない,買い物しなかった,買い物します,買い物できる,買い物される,買い物させる,買い物させられる,買い物すれば,買い物しろ,買い物しよう,買い物するな,114
卒業する,そつぎょうする,毕业,不规则动词,自动词,卒業して,卒業した,卒業しない,卒業しなかった,卒業します,卒業できる,卒業される,卒業させる,卒業させられる,卒業すれば,卒業しろ,卒業しよう,卒業するな,114
食事する,しょくじする,吃饭,不规则动词,自动词,食事して,食事した,食事しない,食事しなかった,食事します,食事できる,食事される,食事させる,食事させられる,食事すれば,食事しろ,食事しよう,食事するな,114
整理する,せいりする,整理,不规则动词,他动词,整理して,整理した,整理しない,整理しなかった,整理します,整理できる,整理される,整理させる,整理させられる,整理すれば,整理しろ,整理しよう,整理するな,114
コピーする,コピーする,复印,不规则动词,他动词,コピーして,コピーした,コピーしない,コピーしなかった,コピーします,コピーできる,コピーされる,コピーさせる,コピーさせられる,コピーすれば,コピーしろ,コピーしよう,コピーするな,114
乗る,のる,乘坐,五段动词,自动词,乗って,乗った,乗らない,乗らなかった,乗ります,乗れる,乗られる,乗らせる,乗らせられる,乗れば,乗れ,乗ろう,乗るな,115
使う,つかう,使用,五段动词,他动词,使って,使った,使わない,使わなかった,使います,使える,使われる,使わせる,使わせられる,使えば,使え,使おう,使うな,115
座る,すわる,坐,五段动词,自动词,座って,座った,座らない,座らなかった,座ります,座れる,座られる,座らせる,座らせられる,座れば,座れ,座ろう,座るな,115
入る,はいる,进入,五段动词,自动词,入って,入った,入らない,入らなかった,入ります,入れる,入られる,入らせる,入らせられる,入れば,入れ,入ろう,入るな,115
申す,もうす,说(谦让语),五段动词,他动词,申して,申した,申さない,申さなかった,申します,申せる,申される,申させる,申させられる,申せば,申せ,申そう,申すな,115
取る,とる,取，拿；拍摄,五段动词,他动词,取って,取った,取らない,取らなかった,取ります,取れる,取られる,取らせる,取らせられる,取れば,取れ,取ろう,取るな,115
歌う,うたう,唱歌,五段动词,他动词,歌って,歌った,歌わない,歌わなかった,歌います,歌える,歌われる,歌わせる,歌わせられる,歌えば,歌え,歌おう,歌うな,115
伝える,つたえる,传达，告诉,一段动词,他动词,伝えて,伝えた,伝えない,伝えなかった,伝えます,伝えられる,伝えられる,伝えさせる,伝えさせられる,伝えれば,伝えろ,伝えよう,伝えるな,115
止める,とめる,停止，止住,一段动词,他动词,止めて,止めた,止めない,止めなかった,止めます,止められる,止められる,止めさせる,止めさせられる,止めれば,止めろ,止めよう,止めるな,115
持つ,もつ,拿，持有,五段动词,他动词,持って,持った,持たない,持たなかった,持ちます,持てる,持たれる,持たせる,持たせられる,持てば,持て,持とう,持つな,116
住む,すむ,居住,五段动词,自动词,住んで,住んだ,住まない,住まなかった,住みます,住める,住まれる,住ませる,住ませられる,住めば,住め,住もう,住むな,116
知る,しる,知道,五段动词,他动词,知って,知った,知らない,知らなかった,知ります,知れる,知られる,知らせる,知らせられる,知れば,知れ,知ろう,知るな,116
直す,なおす,修理，纠正,五段动词,他动词,直して,直した,直さない,直さなかった,直します,直せる,直される,直させる,直させられる,直せば,直せ,直そう,直すな,116
片づける,かたづける,整理，收拾,一段动词,他动词,片づけて,片づけた,片づけない,片づけなかった,片づけます,片づけられる,片づけられる,片づけさせる,片づけさせられる,片づければ,片づけろ,片づけよう,片づけるな,116
練習する,れんしゅうする,练习,不规则动词,他动词,練習して,練習した,練習しない,練習しなかった,練習します,練習できる,練習される,練習させる,練習させられる,練習すれば,練習しろ,練習しよう,練習するな,116
結婚する,けっこんする,结婚,不规则动词,自动词,結婚して,結婚した,結婚しない,結婚しなかった,結婚します,結婚できる,-,結婚させる,結婚させられる,結婚すれば,-,結婚しよう,結婚するな,116
安心する,あんしんする,放心,不规则动词,自动词,安心して,安心した,安心しない,安心しなかった,安心します,安心できる,-,安心させる,安心させられる,安心すれば,-,安心しよう,安心するな,116
始める,はじめる,开始,一段动词,他动词,始めて,始めた,始めない,始めなかった,始めます,始められる,始められる,始めさせる,始めさせられる,始めれば,始めろ,始めよう,始めるな,117
連絡する,れんらくする,联系,不规则动词,他动词,連絡して,連絡した,連絡しない,連絡しなかった,連絡します,連絡できる,連絡される,連絡させる,連絡させられる,連絡すれば,連絡しろ,連絡しよう,連絡するな,117
成る,なる,变成,五段动词,自动词,成って,成った,成らない,成らなかった,成ります,成れる,-,成らせる,成らせられる,成れば,成れ,成ろう,成るな,118
開く,ひらく/あく,打开,五段动词,自他动词,開いて,開いた,開かない,開かなかった,開きます,開ける,開かれる,開かせる,開かせられる,開けば,開け,開こう,開くな,118
似合う,にあう,合适,五段动词,自动词,似合って,似合った,似合わない,似合わなかった,似合います,似合える,-,似合わせる,似合わせられる,似合えば,似合え,似合おう,似合うな,118
触る,さわる,触摸,五段动词,他动词,触って,触った,触らない,触らなかった,触ります,触れる,触られる,触らせる,触らせられる,触れば,触れ,触ろう,触るな,119
脱ぐ,ぬぐ,脱掉,五段动词,他动词,脱いで,脱いだ,脱がない,脱がなかった,脱ぎます,脱げる,脱がれる,脱がせる,脱がせられる,脱げば,脱げ,脱ごう,脱ぐな,119
転ぶ,ころぶ,摔倒,五段动词,自动词,転んで,転んだ,転ばない,転ばなかった,転びます,-,-,転ばせる,転ばせられる,転べば,-,転ぼう,転ぶな,119
渇く,かわく,口渴,五段动词,自动词,渇いて,渇いた,渇かない,渇かなかった,渇きます,渇ける,渇かれる,渇かせる,渇かせられる,渇けば,渇け,渇こう,渇くな,119
治る,なおる,治愈好转,五段动词,自动词,治って,治った,治らない,治らなかった,治ります,治れる,治られる,治らせる,治らせられる,治れば,治れ,治ろう,治るな,119
滑る,すべる,滑倒滑动,五段动词,自动词,滑って,滑った,滑らない,滑らなかった,滑ります,滑れる,滑られる,滑らせる,滑らせられる,滑れば,滑れ,滑ろう,滑るな,119
呼ぶ,よぶ,呼叫邀请,五段动词,他动词,呼んで,呼んだ,呼ばない,呼ばなかった,呼びます,呼べる,呼ばれる,呼ばせる,呼ばせられる,呼べば,呼べ,呼ぼう,呼ぶな,119
返す,かえす,归还返回,五段动词,他动词,返して,返した,返さない,返さなかった,返します,返せる,返される,返させる,返させられる,返せば,返せ,返そう,返すな,119
手伝う,てつだう,帮助,五段动词,他动词,手伝って,手伝った,手伝わない,手伝わなかった,手伝います,手伝える,手伝われる,手伝わせる,手伝わせられる,手伝えば,手伝え,手伝おう,手伝うな,119
運ぶ,はこぶ,搬运,五段动词,他动词,運んで,運んだ,運ばない,運ばなかった,運びます,運べる,運ばれる,運ばせる,運ばせられる,運べば,運べ,運ぼう,運ぶな,119
無くす,なくす,丢失,五段动词,他动词,無くして,無くした,無くさない,無くさなかった,無くします,無くせる,無くされる,無くさせる,無くさせられる,無くせば,無くせ,無くそう,無くすな,119
落とす,おとす,掉下使落下,五段动词,他动词,落として,落とした,落とさない,落とさなかった,落とします,落とせる,落とされる,落とさせる,落とさせられる,落とせば,落とせ,落とそう,落とすな,119
置く,おく,放置,五段动词,他动词,置いて,置いた,置かない,置かなかった,置きます,置ける,置かれる,置かせる,置かせられる,置けば,置け,置こう,置くな,119
払う,はらう,支付；打扫,五段动词,他动词,払って,払った,払わない,払わなかった,払います,払える,払われる,払わせる,払わせられる,払えば,払え,払おう,払うな,119
立つ,たつ,站立,五段动词,自动词,立って,立った,立たない,立たなかった,立ちます,立てる,立たれる,立たせる,立たせられる,立てば,立て,立とう,立つな,119
忘れる,わすれる,忘记,一段动词,他动词,忘れて,忘れた,忘れない,忘れなかった,忘れます,忘れられる,忘れられる,忘れさせる,忘れさせられる,忘れれば,忘れろ,忘れよう,忘れるな,119
慌てる,あわてる,慌张,一段动词,自动词,慌てて,慌てた,慌てない,慌てなかった,慌てます,慌てられる,慌てられる,慌てさせる,慌てさせられる,慌てれば,慌てろ,慌てよう,慌てるな,119
捨てる,すてる,扔掉,一段动词,他动词,捨てて,捨てた,捨てない,捨てなかった,捨てます,捨てられる,捨てられる,捨てさせる,捨てさせられる,捨てれば,捨てろ,捨てよう,捨てるな,119
残業する,ざんぎょうする,加班,不规则动词,自动词,残業して,残業した,残業しない,残業しなかった,残業します,残業できる,残業される,残業させる,残業させられる,残業すれば,残業しろ,残業しよう,残業するな,119
心配する,しんぱいする,担心,不规则动词,自他动词,心配して,心配した,心配しない,心配しなかった,心配します,心配できる,心配される,心配させる,心配させられる,心配すれば,心配しろ,心配しよう,心配するな,119
弾く,ひく,弹奏,五段动词,他动词,弾いて,弾いた,弾かない,弾かなかった,弾きます,弾ける,弾かれる,弾かせる,弾かせられる,弾けば,弾け,弾こう,弾くな,120
空く,すく,变空；空闲,五段动词,自动词,空いて,空いた,空かない,空かなかった,空きます,空ける,空かれる,空かせる,空かせられる,空けば,空け,空こう,空くな,120
登る,のぼる,攀登,五段动词,自动词,登って,登った,登らない,登らなかった,登ります,登れる,登られる,登らせる,登らせられる,登れば,登れ,登ろう,登るな,120
集める,あつめる,收集,一段动词,他动词,集めて,集めた,集めない,集めなかった,集めます,集められる,集められる,集めさせる,集めさせられる,集めれば,集めろ,集めよう,集めるな,120
浴びる,あびる,淋浴,一段动词,他动词,浴びて,浴びた,浴びない,浴びなかった,浴びます,浴びられる,浴びられる,浴びさせる,浴びさせられる,浴びれば,浴びろ,浴びよう,浴びるな,120
御馳走する,ごちそうする,请客,不规则动词,他动词,御馳走して,御馳走した,御馳走しない,御馳走しなかった,御馳走します,御馳走できる,御馳走される,御馳走させる,御馳走させられる,御馳走すれば,御馳走しろ,御馳走しよう,御馳走するな,120
帰国する,きこくする,回国,不规则动词,自动词,帰国して,帰国した,帰国しない,帰国しなかった,帰国します,帰国できる,帰国される,帰国させる,帰国させられる,帰国すれば,帰国しろ,帰国しよう,帰国するな,120
渡す,わたす,交给,五段动词,他动词,渡して,渡した,渡さない,渡さなかった,渡します,渡せる,渡される,渡させる,渡させられる,渡せば,渡せ,渡そう,渡すな,121
遅れる,おくれる,迟到,一段动词,自动词,遅れて,遅れた,遅れない,遅れなかった,遅れます,遅れられる,遅れられる,遅れさせる,遅れさせられる,遅れれば,遅れろ,遅れよう,遅れるな,121
考える,かんがえる,思考,一段动词,他动词,考えて,考えた,考えない,考えなかった,考えます,考えられる,考えられる,考えさせる,考えさせられる,考えれば,考えろ,考えよう,考えるな,121
調べる,しらべる,调查,一段动词,他动词,調べて,調べた,調べない,調べなかった,調べます,調べられる,調べられる,調べさせる,調べさせられる,調べれば,調べろ,調べよう,調べるな,121
着る,きる,穿,一段动词,他动词,着て,着た,着ない,着なかった,着ます,着られる,着られる,着させる,着させられる,着れば,着ろ,着よう,着るな,121
予約する,よやくする,预约,不规则动词,他动词,予約して,予約した,予約しない,予約しなかった,予約します,予約できる,予約される,予約させる,予約させられる,予約すれば,予約しろ,予約しよう,予約するな,121
感謝する,かんしゃする,感谢,不规则动词,他动词,感謝して,感謝した,感謝しない,感謝しなかった,感謝します,感謝できる,感謝される,感謝させる,感謝させられる,感謝すれば,感謝しろ,感謝しよう,感謝するな,121
運動する,うんどうする,运动,不规则动词,自动词,運動して,運動した,運動しない,運動しなかった,運動します,運動できる,運動される,運動させる,運動させられる,運動すれば,運動しろ,運動しよう,運動するな,121
洗濯する,せんたくする,洗衣服,不规则动词,他动词,洗濯して,洗濯した,洗濯しない,洗濯しなかった,洗濯します,洗濯できる,洗濯される,洗濯させる,洗濯させられる,洗濯すれば,洗濯しろ,洗濯しよう,洗濯するな,121
報告する,ほうこくする,报告,不规则动词,他动词,報告して,報告した,報告しない,報告しなかった,報告します,報告できる,報告される,報告させる,報告させられる,報告すれば,報告しろ,報告しよう,報告するな,121
遣る,やる,做；干,五段动词,他动词,遣って,遣った,遣らない,遣らなかった,遣ります,遣れる,遣られる,遣らせる,遣らせられる,遣れば,遣れ,遣ろう,遣るな,122
違う,ちがう,不同；错误,五段动词,自动词,違って,違った,違わない,違わなかった,違います,違える,違われる,違わせる,違わせられる,違えば,違え,違おう,違うな,123
込む,こむ,拥挤；进入,五段动词,自动词,込んで,込んだ,込まない,込まなかった,込みます,込める,込まれる,込ませる,込ませられる,込めば,込め,込もう,込むな,123
決まる,きまる,决定；定下来,五段动词,自动词,決まって,決まった,決まらない,決まらなかった,決まります,決まれる,決まられる,決まらせる,決まらせられる,決まれば,決まれ,決まろう,決まるな,123
知らせる,しらせる,通知；告诉,一段动词,他动词,知らせて,知らせた,知らせない,知らせなかった,知らせます,知らせられる,知らせられる,知らせさせる,知らせさせられる,知らせれば,知らせろ,知らせよう,知らせるな,123
確かめる,たしかめる,确认；查明,一段动词,他动词,確かめて,確かめた,確かめない,確かめなかった,確かめます,確かめられる,確かめられる,確かめさせる,確かめさせられる,確かめれば,確かめろ,確かめよう,確かめるな,123
思う,おもう,想，认为,五段动词,他动词,思って,思った,思わない,思わなかった,思います,思える,思われる,思わせる,思わせられる,思えば,思え,思おう,思うな,124
言う,いう,说,五段动词,他动词,言って,言った,言わない,言わなかった,言います,言える,言われる,言わせる,言わせられる,言えば,言え,言おう,言うな,124
探す,さがす,寻找,五段动词,他动词,探して,探した,探さない,探さなかった,探します,探せる,探される,探させる,探させられる,探せば,探せ,探そう,探すな,124
笑う,わらう,笑,五段动词,自动词,笑って,笑った,笑わない,笑わなかった,笑います,笑える,笑われる,笑わせる,笑わせられる,笑えば,笑え,笑おう,笑うな,124
止める,やめる,停止，放弃,一段动词,他动词,止めて,止めた,止めない,止めなかった,止めます,止められる,止められる,止めさせる,止めさせられる,止めれば,止めろ,止めよう,止めるな,124
決める,きめる,决定,一段动词,他动词,決めて,決めた,決めない,決めなかった,決めます,決められる,決められる,決めさせる,決めさせられる,決めれば,決めろ,決めよう,決めるな,124
寝坊する,ねぼうする,睡懒觉,不规则动词,自动词,寝坊して,寝坊した,寝坊しない,寝坊しなかった,寝坊します,寝坊できる,寝坊される,寝坊させる,寝坊させられる,寝坊すれば,寝坊しろ,寝坊しよう,寝坊するな,124
外出する,がいしゅつする,外出,不规则动词,自动词,外出して,外出した,外出しない,外出しなかった,外出します,外出できる,外出される,外出させる,外出させられる,外出すれば,外出しろ,外出しよう,外出するな,124
研究する,けんきゅうする,研究,不规则动词,他动词,研究して,研究した,研究しない,研究しなかった,研究します,研究できる,研究される,研究させる,研究させられる,研究すれば,研究しろ,研究しよう,研究するな,124
泊まる,とまる,住宿，停留,五段动词,自动词,泊まって,泊まった,泊まらない,泊まらなかった,泊まります,泊まれる,泊まられる,泊まらせる,泊まらせられる,泊まれば,泊まれ,泊まろう,泊まるな,125
結ぶ,むすぶ,系结,五段动词,他动词,結んで,結んだ,結ばない,結ばなかった,結びます,結べる,結ばれる,結ばせる,結ばせられる,結べば,結べ,結ぼう,結ぶな,125
取る,とる,取拿,五段动词,他动词,取って,取った,取らない,取らなかった,取ります,取れる,取られる,取らせる,取らせられる,取れば,取れ,取ろう,取るな,125
生まれる,うまれる,出生,一段动词,自动词,生まれて,生まれた,生まれない,生まれなかった,生まれます,生まれられる,生まれられる,生まれさせる,生まれさせられる,生まれれば,生まれろ,生まれよう,生まれるな,125
倒産する,とうさんする,破产,不规则动词,自动词,倒産して,倒産した,倒産しない,倒産しなかった,倒産します,倒産できる,倒産される,倒産させる,倒産させられる,倒産すれば,倒産しろ,倒産しよう,倒産するな,125
渋滞する,じゅうたいする,堵塞,不规则动词,自动词,渋滞して,渋滞した,渋滞しない,渋滞しなかった,渋滞します,渋滞できる,渋滞される,渋滞させる,渋滞させられる,渋滞すれば,渋滞しろ,渋滞しよう,渋滞するな,125
